id,bbox,sick
Train_245.jpg,"[192, 0, 28, 43]",1
Train_853.jpg,"[384, 0, 64, 43]",1
Train_734.jpg,"[448, 0, 64, 43]",1
Train_1001.jpg,"[512, 0, 64, 43]",0
Train_901.jpg,"[576, 0, 64, 43]",0
Train_732.jpg,"[640, 0, 64, 43]",1
Train_818.jpg,"[704, 0, 64, 43]",1
Train_1520.jpg,"[832, 0, 64, 43]",1
Train_306.jpg,"[896, 0, 64, 43]",1
Train_1736.jpg,"[960, 0, 64, 43]",1
Train_1101.jpg,"[1024, 0, 64, 43]",0
Train_1205.jpg,"[1088, 0, 64, 43]",1
Train_754.jpg,"[1152, 0, 64, 43]",1
Train_1133.jpg,"[1216, 0, 64, 43]",0
Train_591.jpg,"[1408, 0, 64, 43]",0
Train_466.jpg,"[1472, 0, 64, 43]",0
Train_1060.jpg,"[1536, 0, 64, 43]",1
Train_1161.jpg,"[1728, 0, 64, 43]",1
Train_1810.jpg,"[0, 43, 64, 43]",0
Train_480.jpg,"[192, 43, 64, 43]",1
Train_623.jpg,"[256, 43, 64, 43]",1
Train_135.jpg,"[320, 43, 64, 43]",0
Train_1664.jpg,"[384, 43, 64, 43]",1
Train_355.jpg,"[448, 43, 64, 43]",1
Train_618.jpg,"[576, 43, 64, 43]",0
Train_438.jpg,"[640, 43, 64, 43]",0
Train_391.jpg,"[704, 43, 64, 43]",1
Train_1531.jpg,"[768, 43, 64, 43]",1
Train_278.jpg,"[896, 43, 64, 43]",0
Train_720.jpg,"[960, 43, 64, 43]",0
Train_1157.jpg,"[1024, 43, 64, 43]",1
Train_905.jpg,"[1088, 43, 64, 43]",1
Train_686.jpg,"[1152, 43, 64, 43]",1
Train_1031.jpg,"[1280, 43, 64, 43]",0
Train_431.jpg,"[1344, 43, 64, 43]",1
Train_493.jpg,"[1408, 43, 64, 43]",1
Train_1358.jpg,"[1536, 43, 64, 43]",1
Train_1028.jpg,"[1600, 43, 64, 43]",1
Train_1305.jpg,"[1664, 43, 64, 43]",1
Train_180.jpg,"[1728, 43, 64, 43]",1
Train_1573.jpg,"[1792, 43, 64, 43]",1
Train_1046.jpg,"[0, 86, 64, 43]",1
Train_601.jpg,"[64, 86, 64, 43]",0
Train_548.jpg,"[128, 86, 64, 43]",1
Train_934.jpg,"[192, 86, 64, 43]",0
Train_920.jpg,"[320, 86, 64, 43]",1
Train_1526.jpg,"[384, 86, 64, 43]",1
Train_1381.jpg,"[512, 86, 64, 43]",0
Train_1137.jpg,"[768, 86, 64, 43]",1
Train_1129.jpg,"[832, 86, 64, 43]",1
Train_1446.jpg,"[896, 86, 64, 43]",1
Train_579.jpg,"[960, 86, 64, 43]",0
Train_194.jpg,"[1024, 86, 64, 43]",1
Train_1704.jpg,"[1088, 86, 64, 43]",1
Train_1402.jpg,"[1152, 86, 64, 43]",1
Train_1353.jpg,"[1216, 86, 64, 43]",1
Train_745.jpg,"[1344, 86, 64, 43]",1
Train_1372.jpg,"[1408, 86, 64, 43]",0
Train_1809.jpg,"[1472, 86, 64, 43]",1
Train_1173.jpg,"[1536, 86, 64, 43]",1
